URN,Label,Description,Status,Redirect
urn:cite:hmt:astro.1,Orion,"constellation located on the celestial equator,named for a famed hunter in Greek myth",proposed,
urn:cite:hmt:astro.2,Ophiuchus,"constellation located near the celestial equator,named the Serpentbearer",proposed,
urn:cite:hmt:astro.3,Pleiades,"group of seven stars located in Taurus",proposed,
urn:cite:hmt:astro.4,Hyades,"seven stars in the head of the Bull",proposed,
urn:cite:hmt:astro.5,Ursa Major,"the constellation of the Great Bear, also known as the Wain, Wagon or Plough",proposed,
urn:cite:hmt:astro.6,Taurus,"The Bull, one of the constellations of the Zodiac",proposed,
urn:cite:hmt:astro.7,Atlas,"a star within the Pleiades",proposed,
urn:cite:hmt:astro.8,Scorpius,"The Scorpion, a constellation in located in the southern hemisphere near the center of the Milky Way",proposed,
urn:cite:hmt:astro.9,Celestial Poles,"the two imaginary points in the sky where the Earth's axis of rotation intersects the celestial sphere",proposed,
urn:cite:hmt:astro.10,Ursa Minor,"the contellation of the Little Bear (cf the excellent children's television series)",proposed,
urn:cite:hmt:astro.11,Draco,"the constellation of the Dragon in the far northern sky (cf the character in the excellent children's book series)",proposed,
urn:cite:hmt:astro.12,Bootes,"the constellation of the Plowman in the northern sky",proposed,
urn:cite:hmt:astro.13,Cepheus,"the constellation in the northern sky, named after the King of Aethiopia",proposed,
