MorpheusLemma,Urn
ἰά,urn:cite:perseus:lexentity.lex115966.1
ἤ1,multiple
ἠέ1,urn:cite:perseus:lexentity.lex114687.1
ἤ2,multiple
ῥέα,urn:cite:perseus:lexentity.lex126745.1
Αἶα,urn:cite:perseus:lexentity.lex12276.1
Αἴας,none
αὐγή,urn:cite:perseus:lexentity.lex12300.1
αὐγάζω,urn:cite:perseus:lexentity.lex12297.1
αὐγέω,urn:cite:perseus:lexentity.lex12299.1
αἰδώ,urn:cite:perseus:lexentity.lex11731.1
Αἵδης,none
αἰδώς,urn:cite:perseus:lexentity.lex11732.1
αὐδάω,urn:cite:perseus:lexentity.lex12308.1
αἰθήρ,urn:cite:perseus:lexentity.lex11748.1
Αἴθρη,none
αὐλή,urn:cite:perseus:lexentity.lex12362.1
αὐλών,urn:cite:perseus:lexentity.lex12421.1
αἰόλος,urn:cite:perseus:lexentity.lex12073.1
αὐλός,urn:cite:perseus:lexentity.lex12420.1
αὐλέω,urn:cite:perseus:lexentity.lex12361.1
αἰών,urn:cite:perseus:lexentity.lex12076.1
ἑανός,urn:cite:perseus:lexentity.lex111850.1
αἰνός,urn:cite:perseus:lexentity.lex11879.1
ῥαίνω,urn:cite:perseus:lexentity.lex126807.1
αἰνέω,urn:cite:perseus:lexentity.lex11821.1
αὐξάνω,urn:cite:perseus:lexentity.lex12429.1
Αἰπύ,none
αἰπός,urn:cite:perseus:lexentity.lex11927.1
αἱρέω,urn:cite:perseus:lexentity.lex12204.1
Αἶσα,none
αἰτία,urn:cite:perseus:lexentity.lex12013.1
ἰατήρ,urn:cite:perseus:lexentity.lex116032.1
αὐτός,urn:cite:perseus:lexentity.lex12917.1
ἰαχή,urn:cite:perseus:lexentity.lex116065.1
αἰχμή,urn:cite:perseus:lexentity.lex12044.1
αἰχμάζω,urn:cite:perseus:lexentity.lex12042.1
ἰαχέω,urn:cite:perseus:lexentity.lex116064.1
ῥαίω,urn:cite:perseus:lexentity.lex126809.1
αὔω1,multiple
αὔω2,multiple
Ἰαωλκός,none
βία,urn:cite:perseus:lexentity.lex13203.1
βαθύς,urn:cite:perseus:lexentity.lex13363.1
βίαιος,urn:cite:perseus:lexentity.lex13204.1
βαιός,urn:cite:perseus:lexentity.lex13393.1
βαίνω,urn:cite:perseus:lexentity.lex13227.1
βαρύς,urn:cite:perseus:lexentity.lex13674.1
βασκάς,urn:cite:perseus:lexentity.lex13734.1
βαφή,urn:cite:perseus:lexentity.lex13821.1
βαφεύς,urn:cite:perseus:lexentity.lex13822.1
βίβημι,urn:cite:perseus:lexentity.lex13207.1
βόειος,urn:cite:perseus:lexentity.lex15384.1
βάζω,urn:cite:perseus:lexentity.lex13071.1
Ἥβη,none
βηλός,urn:cite:perseus:lexentity.lex13953.1
βάθρον,urn:cite:perseus:lexentity.lex13075.1
βιός,urn:cite:perseus:lexentity.lex14092.1
βιάω,urn:cite:perseus:lexentity.lex13975.1
βάλλις,urn:cite:perseus:lexentity.lex13101.1
βάλλω,urn:cite:perseus:lexentity.lex13102.1
βέλος,urn:cite:perseus:lexentity.lex13179.1
βοή,urn:cite:perseus:lexentity.lex14273.1
